#Coor		Free		+/-		Prob		+/-
 -178.75    1.3026    0.1067       0.037797       0.004037
 -176.25    1.4051    0.1004       0.034111       0.003429
 -173.75    1.7071    0.1041       0.025206       0.002627
 -171.25    2.2176    0.1245       0.015118       0.001886
 -168.75    2.9059    0.1330       0.007588        0.00101
 -166.25    3.3733    0.1188       0.004752       0.000565
 -163.75    3.8900    0.1182       0.002832       0.000335
 -161.25    4.8476    0.1363       0.001085       0.000148
 -158.75    5.5581    0.1369       0.000533        7.3e-05
 -156.25    6.4274    0.1678       0.000223        3.7e-05
 -153.75    7.1327    0.2041        0.00011        2.2e-05
 -151.25    7.5315    0.1645        7.4e-05        1.2e-05
 -148.75    8.4918    0.2193        2.8e-05          6e-06
 -146.25    9.0271    0.1782        1.7e-05          3e-06
 -143.75    9.8704    0.1980          7e-06          1e-06
 -141.25   10.6608    0.1972          3e-06          1e-06
 -138.75   11.3155    0.2028          2e-06              0
 -136.25   11.5102    0.1799          1e-06              0
 -133.75   12.0009    0.2213          1e-06              0
 -131.25   12.1209    0.2324          1e-06              0
 -128.75   12.5006    0.2599          1e-06              0
 -126.25   12.7351    0.2640              0              0
 -123.75   12.6773    0.2614              0              0
 -121.25   12.5157    0.2433          1e-06              0
 -118.75   12.1624    0.2651          1e-06              0
 -116.25   12.4045    0.2601          1e-06              0
 -113.75   12.0068    0.2590          1e-06              0
 -111.25   11.7294    0.2566          1e-06              0
 -108.75   11.1675    0.2399          2e-06              0
 -106.25   10.4055    0.2271          4e-06          1e-06
 -103.75    9.7563    0.2486          8e-06          2e-06
 -101.25    9.0209    0.2386        1.7e-05          4e-06
  -98.75    8.2647    0.2443        3.5e-05          9e-06
  -96.25    7.6344    0.2270        6.7e-05        1.5e-05
  -93.75    6.9261    0.2407       0.000135        3.3e-05
  -91.25    6.1299    0.2336       0.000301          7e-05
  -88.75    5.3000    0.2316        0.00069        0.00016
  -86.25    4.7098    0.2383       0.001246       0.000297
  -83.75    4.1674    0.2401       0.002145       0.000516
  -81.25    3.8721    0.2657       0.002883       0.000767
  -78.75    3.3268    0.2613       0.004978       0.001303
  -76.25    3.0418    0.2633       0.006622       0.001746
  -73.75    2.7429    0.2650       0.008933       0.002371
  -71.25    2.4902    0.2807       0.011506       0.003234
  -68.75    2.3204    0.2601       0.013638       0.003553
  -66.25    2.1922    0.2458       0.015508       0.003817
  -63.75    2.5587    0.2641       0.010743       0.002842
  -61.25    2.5500    0.2529       0.010838       0.002745
  -58.75    2.5920    0.2373       0.010391        0.00247
  -56.25    2.8055    0.2468        0.00839       0.002073
  -53.75    3.0762    0.2465       0.006398       0.001579
  -51.25    3.6595    0.2633       0.003567       0.000941
  -48.75    3.7186    0.2641       0.003362       0.000889
  -46.25    3.9762    0.2555       0.002598       0.000665
  -43.75    4.4041    0.2683       0.001692       0.000455
  -41.25    4.9293    0.3089          0.001       0.000309
  -38.75    5.3958    0.2427       0.000627       0.000152
  -36.25    6.0347    0.2690       0.000331        8.9e-05
  -33.75    6.6346    0.2813       0.000181        5.1e-05
  -31.25    7.1727    0.2910       0.000106        3.1e-05
  -28.75    7.8369    0.2745        5.4e-05        1.5e-05
  -26.25    8.4925    0.2671        2.8e-05          8e-06
  -23.75    9.3075    0.2490        1.2e-05          3e-06
  -21.25   10.3060    0.2823          5e-06          1e-06
  -18.75   10.6831    0.2781          3e-06          1e-06
  -16.25   11.6443    0.2754          1e-06              0
  -13.75   12.4635    0.3203          1e-06              0
  -11.25   13.0127    0.2705              0              0
   -8.75   13.6916    0.2891              0              0
   -6.25   14.4597    0.2693              0              0
   -3.75   14.9758    0.2288              0              0
   -1.25   15.2850    0.2556              0              0
    1.25   15.7889    0.2631              0              0
    3.75   15.7505    0.2293              0              0
    6.25   15.4583    0.2509              0              0
    8.75   15.2820    0.2594              0              0
   11.25   14.7648    0.2528              0              0
   13.75   14.4454    0.2196              0              0
   16.25   13.9743    0.2329              0              0
   18.75   13.3865    0.2133              0              0
   21.25   13.0757    0.2173              0              0
   23.75   12.2863    0.2133          1e-06              0
   26.25   11.7222    0.2154          1e-06              0
   28.75   10.9530    0.2221          2e-06          1e-06
   31.25   10.4514    0.2469          4e-06          1e-06
   33.75    9.5829    0.2404          9e-06          2e-06
   36.25    9.1734    0.2168        1.4e-05          3e-06
   38.75    8.4090    0.2244        3.1e-05          7e-06
   41.25    7.4760    0.2311        7.8e-05        1.8e-05
   43.75    7.1424    0.2261       0.000109        2.5e-05
   46.25    6.7999    0.2566       0.000154        3.9e-05
   48.75    6.2658    0.2416       0.000262        6.3e-05
   51.25    5.8588    0.2612       0.000394       0.000103
   53.75    5.5352    0.2554       0.000545       0.000139
   56.25    5.6513    0.2587       0.000485       0.000126
   58.75    5.5690    0.2410       0.000527       0.000127
   61.25    5.3160    0.2132       0.000679       0.000145
   63.75    5.5496    0.2452       0.000537       0.000132
   66.25    5.9005    0.2548       0.000378        9.6e-05
   68.75    5.8337    0.2379       0.000404        9.6e-05
   71.25    6.0401    0.2242       0.000329        7.4e-05
   73.75    6.3495    0.2342       0.000241        5.7e-05
   76.25    6.7717    0.2391       0.000158        3.8e-05
   78.75    7.0136    0.2338       0.000124        2.9e-05
   81.25    7.0748    0.2141       0.000117        2.5e-05
   83.75    7.4185    0.2181        8.3e-05        1.8e-05
   86.25    7.6885    0.2150        6.3e-05        1.4e-05
   88.75    8.2255    0.2501        3.7e-05          9e-06
   91.25    8.2497    0.2090        3.6e-05          8e-06
   93.75    8.4671    0.2307        2.9e-05          7e-06
   96.25    8.6943    0.2227        2.3e-05          5e-06
   98.75    8.7885    0.2404        2.1e-05          5e-06
  101.25    8.6815    0.2421        2.3e-05          6e-06
  103.75    8.8716    0.2190        1.9e-05          4e-06
  106.25    9.2536    0.2188        1.3e-05          3e-06
  108.75    9.1081    0.1954        1.5e-05          3e-06
  111.25    9.5376    0.1934          1e-05          2e-06
  113.75    9.4225    0.2143        1.1e-05          2e-06
  116.25    9.1133    0.1893        1.5e-05          3e-06
  118.75    9.2125    0.1901        1.4e-05          3e-06
  121.25    9.1123    0.1735        1.5e-05          3e-06
  123.75    8.9488    0.1916        1.8e-05          3e-06
  126.25    8.7722    0.1850        2.1e-05          4e-06
  128.75    8.5745    0.2024        2.6e-05          5e-06
  131.25    8.3398    0.2022        3.3e-05          7e-06
  133.75    7.8152    0.1970        5.6e-05        1.1e-05
  136.25    7.7771    0.1895        5.8e-05        1.1e-05
