#Coor		Free		+/-		Prob		+/-
 -170.00    1.0121    0.0219       0.047669       0.002984
 -150.00    2.9023    0.0351       0.000214        2.2e-05
 -130.00    4.3518    0.0476          3e-06              0
 -110.00    4.0893    0.0580          7e-06          1e-06
  -90.00    2.2473    0.0705       0.001394       0.000281
  -70.00    0.9892    0.0855       0.050894       0.012439
  -50.00    1.2055    0.0946       0.027419       0.007415
  -30.00    3.2884    0.1072        7.1e-05        2.2e-05
  -10.00    4.9203    0.1157          1e-06              0
   10.00    5.6348    0.1312              0              0
   30.00    4.4416    0.1450          3e-06          1e-06
   50.00    2.4793    0.1571       0.000718       0.000323
   70.00    2.3409    0.0846       0.001067       0.000258
   90.00    3.2773    0.0748        7.3e-05        1.6e-05
  110.00    3.4328    0.0674        4.7e-05          9e-06
  130.00    3.1281    0.0558       0.000112        1.8e-05
  150.00    1.6007    0.0417       0.008858       0.001057
  170.00    0.0000    0.0083       0.861449       0.020365
